well_id,dose_uM,time_h,metric_name,value
Scout1_A01,0.1,0.0,cell_count,53011.10029369089
Scout1_A01,0.1,0.0,viability,0.963159829779479
Scout1_A01,0.1,0.0,confluence,0.0
Scout1_A01,0.1,0.0,er_stress,0.0
Scout1_A01,0.1,0.0,mito_dysfunction,0.0
Scout1_A02,0.1,0.0,cell_count,52833.80564387922
Scout1_A02,0.1,0.0,viability,0.9652723066367864
Scout1_A02,0.1,0.0,confluence,0.0
Scout1_A02,0.1,0.0,er_stress,0.0
Scout1_A02,0.1,0.0,mito_dysfunction,0.0
Scout1_A03,0.1,0.0,cell_count,52656.51099406754
Scout1_A03,0.1,0.0,viability,0.956816625146262
Scout1_A03,0.1,0.0,confluence,0.0
Scout1_A03,0.1,0.0,er_stress,0.0
Scout1_A03,0.1,0.0,mito_dysfunction,0.0
Scout1_A04,0.1,0.0,cell_count,49637.435897636096
Scout1_A04,0.1,0.0,viability,0.9044857777634152
Scout1_A04,0.1,0.0,confluence,0.00496374358976361
Scout1_A04,0.1,0.0,er_stress,0.0
Scout1_A04,0.1,0.0,mito_dysfunction,0.0
Scout1_A05,0.1519911082952934,0.0,cell_count,48688.44524158294
Scout1_A05,0.1519911082952934,0.0,viability,0.8950445611043217
Scout1_A05,0.1519911082952934,0.0,confluence,0.004868844524158294
Scout1_A05,0.1519911082952934,0.0,er_stress,0.0
Scout1_A05,0.1519911082952934,0.0,mito_dysfunction,0.0
Scout1_A06,0.1519911082952934,0.0,cell_count,52124.6270446325
Scout1_A06,0.1519911082952934,0.0,viability,0.9486003829837345
Scout1_A06,0.1519911082952934,0.0,confluence,0.0
Scout1_A06,0.1519911082952934,0.0,er_stress,0.0
Scout1_A06,0.1519911082952934,0.0,mito_dysfunction,0.0
Scout1_A07,0.1519911082952934,0.0,cell_count,45774.740446059135
Scout1_A07,0.1519911082952934,0.0,viability,0.8459470316088523
Scout1_A07,0.1519911082952934,0.0,confluence,0.004577474044605913
Scout1_A07,0.1519911082952934,0.0,er_stress,0.0
