run_id,duration_days,final_vials,waste_vials,waste_cells,waste_vials_equivalent,waste_fraction,had_contamination,terminal_failure,failed_reason,total_media_l,max_passage,failures,violations,daily_metrics
10,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1631011.5650524083), 'flask_count': 1, 'avg_confluence': np.float64(0.06524046260209633), 'media_consumed': 65.0, 'run_id': 10}, {'day': 2, 'total_cells': np.float64(3081794.0382250054), 'flask_count': 1, 'avg_confluence': np.float64(0.12327176152900021), 'media_consumed': 65.0, 'run_id': 10}, {'day': 3, 'total_cells': np.float64(5770650.59176391), 'flask_count': 1, 'avg_confluence': np.float64(0.2308260236705564), 'media_consumed': 65.0, 'run_id': 10}, {'day': 4, 'total_cells': np.float64(10470808.263163917), 'flask_count': 1, 'avg_confluence': np.float64(0.41883233052655666), 'media_consumed': 65.0, 'run_id': 10}, {'day': 5, 'total_cells': np.float64(17175478.084021047), 'flask_count': 1, 'avg_confluence': np.float64(0.6870191233608419), 'media_consumed': 65.0, 'run_id': 10}, {'day': 6, 'total_cells': np.float64(22050534.283127923), 'flask_count': 1, 'avg_confluence': np.float64(0.8820213713251169), 'media_consumed': 65.0, 'run_id': 10}]"
11,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1732708.956945463), 'flask_count': 1, 'avg_confluence': np.float64(0.06930835827781852), 'media_consumed': 65.0, 'run_id': 11}, {'day': 2, 'total_cells': np.float64(3272470.911463131), 'flask_count': 1, 'avg_confluence': np.float64(0.13089883645852524), 'media_consumed': 65.0, 'run_id': 11}, {'day': 3, 'total_cells': np.float64(6117885.623121918), 'flask_count': 1, 'avg_confluence': np.float64(0.24471542492487672), 'media_consumed': 65.0, 'run_id': 11}, {'day': 4, 'total_cells': np.float64(11040449.343683487), 'flask_count': 1, 'avg_confluence': np.float64(0.44161797374733947), 'media_consumed': 65.0, 'run_id': 11}, {'day': 5, 'total_cells': np.float64(17818875.40162281), 'flask_count': 1, 'avg_confluence': np.float64(0.7127550160649124), 'media_consumed': 65.0, 'run_id': 11}, {'day': 6, 'total_cells': np.float64(22205681.97937258), 'flask_count': 1, 'avg_confluence': np.float64(0.8882272791749032), 'media_consumed': 65.0, 'run_id': 11}]"
12,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1780451.4157923267), 'flask_count': 1, 'avg_confluence': np.float64(0.07121805663169306), 'media_consumed': 65.0, 'run_id': 12}, {'day': 2, 'total_cells': np.float64(3361893.925657123), 'flask_count': 1, 'avg_confluence': np.float64(0.13447575702628492), 'media_consumed': 65.0, 'run_id': 12}, {'day': 3, 'total_cells': np.float64(6280134.717409055), 'flask_count': 1, 'avg_confluence': np.float64(0.25120538869636216), 'media_consumed': 65.0, 'run_id': 12}, {'day': 4, 'total_cells': np.float64(11303149.60736419), 'flask_count': 1, 'avg_confluence': np.float64(0.45212598429456763), 'media_consumed': 65.0, 'run_id': 12}, {'day': 5, 'total_cells': np.float64(18101856.837118693), 'flask_count': 1, 'avg_confluence': np.float64(0.7240742734847477), 'media_consumed': 65.0, 'run_id': 12}, {'day': 6, 'total_cells': np.float64(22257228.42332092), 'flask_count': 1, 'avg_confluence': np.float64(0.8902891369328367), 'media_consumed': 65.0, 'run_id': 12}]"
13,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1872393.3995884638), 'flask_count': 1, 'avg_confluence': np.float64(0.07489573598353855), 'media_consumed': 65.0, 'run_id': 13}, {'day': 2, 'total_cells': np.float64(3533931.790059777), 'flask_count': 1, 'avg_confluence': np.float64(0.1413572716023911), 'media_consumed': 65.0, 'run_id': 13}, {'day': 3, 'total_cells': np.float64(6591162.418225599), 'flask_count': 1, 'avg_confluence': np.float64(0.26364649672902396), 'media_consumed': 65.0, 'run_id': 13}, {'day': 4, 'total_cells': np.float64(11800329.645852216), 'flask_count': 1, 'avg_confluence': np.float64(0.47201318583408863), 'media_consumed': 65.0, 'run_id': 13}, {'day': 5, 'total_cells': np.float64(18613288.760293283), 'flask_count': 1, 'avg_confluence': np.float64(0.7445315504117314), 'media_consumed': 65.0, 'run_id': 13}, {'day': 6, 'total_cells': np.float64(22324958.44388629), 'flask_count': 1, 'avg_confluence': np.float64(0.8929983377554517), 'media_consumed': 65.0, 'run_id': 13}]"
14,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1813025.7382963987), 'flask_count': 1, 'avg_confluence': np.float64(0.07252102953185595), 'media_consumed': 65.0, 'run_id': 14}, {'day': 2, 'total_cells': np.float64(3422871.8918902273), 'flask_count': 1, 'avg_confluence': np.float64(0.1369148756756091), 'media_consumed': 65.0, 'run_id': 14}, {'day': 3, 'total_cells': np.float64(6390547.587789507), 'flask_count': 1, 'avg_confluence': np.float64(0.25562190351158026), 'media_consumed': 65.0, 'run_id': 14}, {'day': 4, 'total_cells': np.float64(11480621.317970082), 'flask_count': 1, 'avg_confluence': np.float64(0.4592248527188033), 'media_consumed': 65.0, 'run_id': 14}, {'day': 5, 'total_cells': np.float64(18288058.588549618), 'flask_count': 1, 'avg_confluence': np.float64(0.7315223435419848), 'media_consumed': 65.0, 'run_id': 14}, {'day': 6, 'total_cells': np.float64(22285655.082795277), 'flask_count': 1, 'avg_confluence': np.float64(0.8914262033118111), 'media_consumed': 65.0, 'run_id': 14}]"
15,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(2009231.6380290787), 'flask_count': 1, 'avg_confluence': np.float64(0.08036926552116315), 'media_consumed': 65.0, 'run_id': 15}, {'day': 2, 'total_cells': np.float64(3789536.74928041), 'flask_count': 1, 'avg_confluence': np.float64(0.1515814699712164), 'media_consumed': 65.0, 'run_id': 15}, {'day': 3, 'total_cells': np.float64(7050424.576735166), 'flask_count': 1, 'avg_confluence': np.float64(0.28201698306940665), 'media_consumed': 65.0, 'run_id': 15}, {'day': 4, 'total_cells': np.float64(12518448.332034808), 'flask_count': 1, 'avg_confluence': np.float64(0.5007379332813923), 'media_consumed': 65.0, 'run_id': 15}, {'day': 5, 'total_cells': np.float64(19295373.341515232), 'flask_count': 1, 'avg_confluence': np.float64(0.7718149336606093), 'media_consumed': 65.0, 'run_id': 15}, {'day': 6, 'total_cells': np.float64(22365353.742484435), 'flask_count': 1, 'avg_confluence': np.float64(0.8946141496993775), 'media_consumed': 65.0, 'run_id': 15}]"
16,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1826429.0764177411), 'flask_count': 1, 'avg_confluence': np.float64(0.07305716305670965), 'media_consumed': 65.0, 'run_id': 16}, {'day': 2, 'total_cells': np.float64(3447954.1490448206), 'flask_count': 1, 'avg_confluence': np.float64(0.13791816596179282), 'media_consumed': 65.0, 'run_id': 16}, {'day': 3, 'total_cells': np.float64(6435910.095401128), 'flask_count': 1, 'avg_confluence': np.float64(0.2574364038160451), 'media_consumed': 65.0, 'run_id': 16}, {'day': 4, 'total_cells': np.float64(11553225.279854018), 'flask_count': 1, 'avg_confluence': np.float64(0.4621290111941607), 'media_consumed': 65.0, 'run_id': 16}, {'day': 5, 'total_cells': np.float64(18363071.53780454), 'flask_count': 1, 'avg_confluence': np.float64(0.7345228615121816), 'media_consumed': 65.0, 'run_id': 16}, {'day': 6, 'total_cells': np.float64(22295883.899023145), 'flask_count': 1, 'avg_confluence': np.float64(0.8918353559609258), 'media_consumed': 65.0, 'run_id': 16}]"
17,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1924740.2868736824), 'flask_count': 1, 'avg_confluence': np.float64(0.07698961147494729), 'media_consumed': 65.0, 'run_id': 17}, {'day': 2, 'total_cells': np.float64(3631776.2248108992), 'flask_count': 1, 'avg_confluence': np.float64(0.14527104899243598), 'media_consumed': 65.0, 'run_id': 17}, {'day': 3, 'total_cells': np.float64(6767377.493830681), 'flask_count': 1, 'avg_confluence': np.float64(0.27069509975322725), 'media_consumed': 65.0, 'run_id': 17}, {'day': 4, 'total_cells': np.float64(12078167.973948892), 'flask_count': 1, 'avg_confluence': np.float64(0.48312671895795567), 'media_consumed': 65.0, 'run_id': 17}, {'day': 5, 'total_cells': np.float64(18885179.794993598), 'flask_count': 1, 'avg_confluence': np.float64(0.7554071917997439), 'media_consumed': 65.0, 'run_id': 17}, {'day': 6, 'total_cells': np.float64(22347823.574266262), 'flask_count': 1, 'avg_confluence': np.float64(0.8939129429706505), 'media_consumed': 65.0, 'run_id': 17}]"
18,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1843848.9477003538), 'flask_count': 1, 'avg_confluence': np.float64(0.07375395790801416), 'media_consumed': 65.0, 'run_id': 18}, {'day': 2, 'total_cells': np.float64(3480545.395810927), 'flask_count': 1, 'avg_confluence': np.float64(0.13922181583243706), 'media_consumed': 65.0, 'run_id': 18}, {'day': 3, 'total_cells': np.float64(6494805.47739268), 'flask_count': 1, 'avg_confluence': np.float64(0.2597922190957072), 'media_consumed': 65.0, 'run_id': 18}, {'day': 4, 'total_cells': np.float64(11647217.761073783), 'flask_count': 1, 'avg_confluence': np.float64(0.4658887104429513), 'media_consumed': 65.0, 'run_id': 18}, {'day': 5, 'total_cells': np.float64(18459176.226620026), 'flask_count': 1, 'avg_confluence': np.float64(0.738367049064801), 'media_consumed': 65.0, 'run_id': 18}, {'day': 6, 'total_cells': np.float64(22307967.099152494), 'flask_count': 1, 'avg_confluence': np.float64(0.8923186839660998), 'media_consumed': 65.0, 'run_id': 18}]"
19,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1984243.4070079243), 'flask_count': 1, 'avg_confluence': np.float64(0.07936973628031697), 'media_consumed': 65.0, 'run_id': 19}, {'day': 2, 'total_cells': np.float64(3742901.1039834335), 'flask_count': 1, 'avg_confluence': np.float64(0.14971604415933734), 'media_consumed': 65.0, 'run_id': 19}, {'day': 3, 'total_cells': np.float64(6966893.584138179), 'flask_count': 1, 'avg_confluence': np.float64(0.2786757433655272), 'media_consumed': 65.0, 'run_id': 19}, {'day': 4, 'total_cells': np.float64(12389296.097587341), 'flask_count': 1, 'avg_confluence': np.float64(0.4955718439034937), 'media_consumed': 65.0, 'run_id': 19}, {'day': 5, 'total_cells': np.float64(19177685.715816166), 'flask_count': 1, 'avg_confluence': np.float64(0.7671074286326467), 'media_consumed': 65.0, 'run_id': 19}, {'day': 6, 'total_cells': np.float64(22362393.36739523), 'flask_count': 1, 'avg_confluence': np.float64(0.8944957346958092), 'media_consumed': 65.0, 'run_id': 19}]"
