day,total_cells,flask_count,avg_confluence,media_consumed,run_id
1,1769772.3706885658,1,0.07079089482754262,65.0,0
2,3341896.969193518,1,0.13367587876774073,65.0,0
3,6243886.124627173,1,0.24975544498508692,65.0,0
4,11244654.796445087,1,0.44978619185780344,65.0,0
5,18039604.030419387,1,0.7215841612167755,65.0,0
6,22246755.067883603,1,0.8898702027153441,65.0,0
1,2191639.0803537774,1,0.0876655632141511,65.0,1
2,4129383.5209165444,1,0.16517534083666177,65.0,1
3,7655424.658159143,1,0.30621698632636574,65.0,1
4,13433728.06166247,1,0.5373491224664988,65.0,1
5,20066049.95906952,1,0.8026419983627808,65.0,1
1,1781764.8537949359,1,0.07127059415179743,65.0,2
2,3364353.1839256864,1,0.13457412735702745,65.0,2
3,6284591.268863715,1,0.2513836507545486,65.0,2
4,11310333.362367485,1,0.4524133344946994,65.0,2
5,18109472.072820954,1,0.7243788829128381,65.0,2
6,22258476.17881226,1,0.8903390471524905,65.0,2
1,1751353.9599188357,1,0.07005415839675343,65.0,3
2,3307400.655204884,1,0.13229602620819536,65.0,3
3,6181308.43948168,1,0.2472523375792672,65.0,3
4,11143406.393890193,1,0.4457362557556077,65.0,3
5,17930823.304975305,1,0.7172329321990122,65.0,3
6,22227282.52516955,1,0.889091301006782,65.0,3
1,1860146.6466814694,1,0.07440586586725878,65.0,4
2,3511029.583037661,1,0.14044118332150643,65.0,4
3,6549844.2202773625,1,0.2619937688110945,65.0,4
4,11734776.501233451,1,0.46939106004933806,65.0,4
5,18547678.078187443,1,0.7419071231274977,65.0,4
6,22318082.9235652,1,0.8927233169426081,65.0,4
1,1777259.9883197204,1,0.07109039953278881,65.0,5
2,3355918.1617748505,1,0.13423672647099402,65.0,5
3,6269304.47839314,1,0.25077217913572564,65.0,5
4,11285684.600982865,1,0.4514273840393146,65.0,5
5,18083315.401560888,1,0.7233326160624355,65.0,5
6,22254159.960568156,1,0.8901663984227263,65.0,5
1,1887615.4345245596,1,0.07550461738098238,65.0,6
2,3562392.118650114,1,0.14249568474600458,65.0,6
3,6642470.2934169825,1,0.2656988117366793,65.0,6
4,11881517.874962628,1,0.47526071499850514,65.0,6
5,18693776.615914986,1,0.7477510646365995,65.0,6
6,22332669.89817472,1,0.8933067959269889,65.0,6
1,2008567.527613844,1,0.08034270110455376,65.0,7
2,3788297.55799511,1,0.1515319023198044,65.0,7
3,7048206.557962801,1,0.28192826231851204,65.0,7
4,12515027.455989087,1,0.5006010982395634,65.0,7
5,19292284.47114074,1,0.7716913788456295,65.0,7
