well_id,dose_uM,time_h,metric_name,value
Scout1_A01,0.5,0.0,cell_count,53011.10029369089
Scout1_A01,0.5,0.0,viability,0.963159829779479
Scout1_A01,0.5,0.0,confluence,0.0
Scout1_A01,0.5,0.0,er_stress,0.0
Scout1_A01,0.5,0.0,mito_dysfunction,0.0
Scout1_A02,0.5,0.0,cell_count,52833.80564387922
Scout1_A02,0.5,0.0,viability,0.9652723066367864
Scout1_A02,0.5,0.0,confluence,0.0
Scout1_A02,0.5,0.0,er_stress,0.0
Scout1_A02,0.5,0.0,mito_dysfunction,0.0
Scout1_A03,0.5,0.0,cell_count,52656.51099406754
Scout1_A03,0.5,0.0,viability,0.956816625146262
Scout1_A03,0.5,0.0,confluence,0.0
Scout1_A03,0.5,0.0,er_stress,0.0
Scout1_A03,0.5,0.0,mito_dysfunction,0.0
Scout1_A04,0.5,0.0,cell_count,49852.032285507536
Scout1_A04,0.5,0.0,viability,0.9083961203763857
Scout1_A04,0.5,0.0,confluence,0.0049852032285507535
Scout1_A04,0.5,0.0,er_stress,0.0
Scout1_A04,0.5,0.0,mito_dysfunction,0.0
Scout1_A05,0.6811672429715492,0.0,cell_count,49295.02252284746
Scout1_A05,0.6811672429715492,0.0,viability,0.9061953319656919
Scout1_A05,0.6811672429715492,0.0,confluence,0.004929502252284746
Scout1_A05,0.6811672429715492,0.0,er_stress,0.0
Scout1_A05,0.6811672429715492,0.0,mito_dysfunction,0.0
Scout1_A06,0.6811672429715492,0.0,cell_count,52124.6270446325
Scout1_A06,0.6811672429715492,0.0,viability,0.9486003829837345
Scout1_A06,0.6811672429715492,0.0,confluence,0.0
Scout1_A06,0.6811672429715492,0.0,er_stress,0.0
Scout1_A06,0.6811672429715492,0.0,mito_dysfunction,0.0
Scout1_A07,0.6811672429715492,0.0,cell_count,46345.0177977509
Scout1_A07,0.6811672429715492,0.0,viability,0.8564861286775927
Scout1_A07,0.6811672429715492,0.0,confluence,0.00463450177977509
