dose_uM,n_wells,n_committed,fraction_committed,mean_commitment_time_h
0.5,4,0,0.0,
0.6811672429715492,4,0,0.0,
0.9279776257949232,4,0,0.0,
1.2642159218040236,4,0,0.0,
1.7222849479519649,4,0,0.0,
2.3463281792156763,4,1,0.25,48.0
3.1964837938855934,4,1,0.25,48.0
4.354680106168576,4,1,0.25,12.0
5.932530883883804,4,1,0.25,12.0
8.082091412037396,4,1,0.25,48.0
11.0105118491631,4,1,0.25,48.0
15.000000000000004,4,0,0.0,
