dose_uM,n_committed,n_wells,mean_time_above_pct,mean_stress,stress_cv,commitment_fraction
0.5,0,4,0.0,0.3225213532132952,0.4140034503519491,0.0
0.6811672429715492,0,4,0.0,0.36508527349705794,0.4479356492837086,0.0
0.9279776257949232,0,4,30.0,0.41095199913138036,0.49779518861283384,0.0
1.2642159218040236,0,4,50.0,0.43575503588350933,0.6054496595049471,0.0
1.7222849479519649,0,4,50.0,0.46417378371411977,0.7809041345563871,0.0
2.3463281792156763,1,4,50.0,0.4776857793176739,0.8309575912002923,0.25
3.1964837938855934,1,4,50.0,0.4817403611006492,0.9169699781836478,0.25
4.354680106168576,1,4,50.0,0.48517174927318285,0.9547317112982092,0.25
5.932530883883804,1,4,50.0,0.4857142857142857,0.9557692240748187,0.25
8.082091412037396,1,4,50.0,0.4857142857142857,0.9557692240748187,0.25
11.0105118491631,1,4,50.0,0.4857142857142857,0.9557692240748187,0.25
15.000000000000004,0,4,50.0,0.4857142857142857,0.9557692240748187,0.0
